Item Code,Division,Department,Category,Class,Group,Description,UOM,Brand,Total QOH,Total Avail.,Status,Condition,Issue Ctrl,Item GTIN
509065045089,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE BLACK/CHARCOAL 9,EACH,TEV,1,1,S,,U,195719672799
5090670510210,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE W DARK SHADOW/MOON MIST 10,EACH,TEV,1,1,S,,U,196565508508
509067051026,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE W DARK SHADOW/MOON MIST 6,EACH,TEV,1,1,S,,U,196565508393
509067051027,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE W DARK SHADOW/MOON MIST 7,EACH,TEV,2,2,S,,U,196565508416
509067051029,,,0003,0014,0037,TEV GRANDVIEW GTX SHOE W DARK SHADOW/MOON MIST 9,EACH,TEV,2,2,S,,U,196565508485
5090680473210,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 10,EACH,ON,1,1,S,,U,7630419111825
5090680473210.5,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 10.5,EACH,ON,1,1,S,,U,7630419111832
5090680473211,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 11,EACH,ON,1,1,S,,U,7630419111849
5090680473211.5,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 11.5,EACH,ON,1,1,S,,U,7630419111856
5090680473212,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 12,EACH,ON,1,1,S,,U,7630419111863
5090680473213,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 13,EACH,ON,1,1,S,,U,7630419111887
509068047328.5,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 8.5,EACH,ON,1,1,S,,U,7630419111795
509068047329,,,0003,0013,0036,ON CLOUDROCK 2 MID WP BOOT ALLOY/ECLIPSE 9,EACH,ON,1,1,S,,U,7630419111801
